Longitude,Latitude,OBJECTID,site_name,Suburb,Location,Accessible
151.206037116280000,-33.908860617236800,60,Matron Ruby Park - 3 Joynton Avenue,Zetland,Park,
151.181186390835000,-33.894418834974100,61,Ernest Wright Playground,Newtown,Park,No wheelchair access
151.196687869386000,-33.899806247443800,62,Alexandria Park,Alexandria,Park,No wheelchair access
151.197433467762000,-33.90077300370790,63,Alexandria Park,Alexandria,Park,No wheelchair access
151.18145634518500,-33.901102415768900,64,Mrs Isabella Hills Rest Area,Newtown,Park,No wheelchair access
151.180486501552000,-33.902356288120800,65,Gowrie Street Reserve,Newtown,Park,No wheelchair access
151.192606227139000,-33.903594479575900,66,Bowden Playground,Alexandria,Park,No wheelchair access
151.183332059003000,-33.898721027112000,67,Pinkstone Playground,Erskineville,Park,No wheelchair access
151.196769181686000,-33.888810210109600,68,Vine Street Playground 1,Darlington,Park,No wheelchair access
151.181123791718000,-33.902854712374000,69,Union Street Reserve,Newtown,Park,No wheelchair access
151.194213998555000,-33.891788997491900,70,Charles Kernan Reserve,Darlington,Park,Wheelchair accessible
151.210738501525000,-33.89376591788390,71,Hanson Cab Place,Redfern,Park,Wheelchair accessible
151.191758022375000,-33.902797247603900,72,Les White Reserve,Alexandria,Park,No wheelchair access
151.207879690658000,-33.905910179976300,73,Mary O'Brien Reserve,Zetland,Park,No wheelchair access
151.207699969195000,-33.907040597872000,74,Elizabeth Street Reserve,Zetland,Footway,No wheelchair access
151.204418027820000,-33.899251999873200,75,Waterloo Park & Mount Carmel,Waterloo,Park,Wheelchair accessible
151.225525202428000,-33.887022081546200,76,Ethel Turner Park,Paddington,Reserve,Wheelchair accessible
151.180004493480000,-33.900235592969800,77,Lillian Fowler Reserve,Newtown,Park,No wheelchair access
151.214756009226000,-33.892962693031400,78,Chelsea St Playground,Redfern,Park,No wheelchair access
151.191845334644000,-33.899963292925600,79,Dibbs St Reserve,Alexandria,Reserve,Wheelchair accessible
